pose_id,x_nose,y_nose,z_nose,x_left_eye_inner,y_left_eye_inner,z_left_eye_inner,x_left_eye,y_left_eye,z_left_eye,x_left_eye_outer,y_left_eye_outer,z_left_eye_outer,x_right_eye_inner,y_right_eye_inner,z_right_eye_inner,x_right_eye,y_right_eye,z_right_eye,x_right_eye_outer,y_right_eye_outer,z_right_eye_outer,x_left_ear,y_left_ear,z_left_ear,x_right_ear,y_right_ear,z_right_ear,x_mouth_left,y_mouth_left,z_mouth_left,x_mouth_right,y_mouth_right,z_mouth_right,x_left_shoulder,y_left_shoulder,z_left_shoulder,x_right_shoulder,y_right_shoulder,z_right_shoulder,x_left_elbow,y_left_elbow,z_left_elbow,x_right_elbow,y_right_elbow,z_right_elbow,x_left_wrist,y_left_wrist,z_left_wrist,x_right_wrist,y_right_wrist,z_right_wrist,x_left_pinky_1,y_left_pinky_1,z_left_pinky_1,x_right_pinky_1,y_right_pinky_1,z_right_pinky_1,x_left_index_1,y_left_index_1,z_left_index_1,x_right_index_1,y_right_index_1,z_right_index_1,x_left_thumb_2,y_left_thumb_2,z_left_thumb_2,x_right_thumb_2,y_right_thumb_2,z_right_thumb_2,x_left_hip,y_left_hip,z_left_hip,x_right_hip,y_right_hip,z_right_hip,x_left_knee,y_left_knee,z_left_knee,x_right_knee,y_right_knee,z_right_knee,x_left_ankle,y_left_ankle,z_left_ankle,x_right_ankle,y_right_ankle,z_right_ankle,x_left_heel,y_left_heel,z_left_heel,x_right_heel,y_right_heel,z_right_heel,x_left_foot_index,y_left_foot_index,z_left_foot_index,x_right_foot_index,y_right_foot_index,z_right_foot_index
10,0.75238246,-57.20837,-45.519615,-3.787683,-61.778065,-45.58374,-2.9867775,-63.490974,-44.078655,-0.29843903,-63.71571,-44.02391,-7.7520075,-60.72164,-43.151146,-9.254482,-60.837082,-43.25189,-8.307295,-61.49154,-42.221436,-0.7860507,-64.07872,-37.20881,-9.051256,-58.509094,-29.794636,-3.713254,-54.58158,-40.087154,-7.467211,-53.197304,-38.99094,7.096802,-40.320538,-24.68761,-8.49853,-38.38747,-22.85264,9.583393,-20.148151,-11.310576,-11.166286,-15.3236885,-13.135289,9.932461,-5.326179,-12.197279,-11.566188,0.30827862,-19.720245,9.378677,3.1823936,-13.54837,-11.898133,6.0629964,-21.22061,10.310748,1.8283912,-13.788294,-11.430711,6.996636,-21.705038,8.909361,5.3763022,-25.86722,-9.967866,5.8661737,-26.515352,5.0487514,1.6354799,-3.6012485,-6.1223145,1.3805399,3.7643251,3.5966783,35.871284,53.10799,-0.7553965,35.120613,47.673935,4.40221,28.303478,58.5328,-0.05184269,35.316624,50.976562,5.2539763,43.898796,50.382614,0.24610126,44.795155,39.365063,6.410493,45.230316,49.621742,0.9101195,45.676796,41.132637
11,-0.092069834,-57.26847,-46.381496,-2.7770736,-63.235863,-44.084755,-3.6138852,-61.801888,-44.88417,-1.6443722,-65.02653,-43.614914,-6.906137,-59.85385,-43.02031,-8.955607,-61.661205,-42.415596,-9.140051,-60.805096,-42.899685,-0.98541063,-63.45884,-36.78561,-7.461341,-60.136456,-27.325151,-1.9583969,-54.01266,-41.419167,-7.5718713,-52.330765,-40.192932,7.6115727,-41.450672,-26.078758,-6.312791,-37.781647,-22.683716,9.343708,-20.524496,-11.343234,-11.800373,-16.295004,-14.15409,11.9623785,-3.7580092,-13.412781,-10.328232,1.3983306,-18.737501,10.429396,2.028142,-12.997195,-12.693577,5.910725,-22.401184,9.622283,1.5554372,-16.611893,-9.883683,5.517182,-21.615795,10.376989,5.532305,-26.246658,-9.451878,4.89888,-25.249567,4.732352,1.0324906,-3.8358738,-4.687466,-1.4884839,4.4822288,4.8579993,34.96107,53.54243,-0.57319903,33.779568,46.239883,2.3286543,27.127335,58.598244,-1.2111454,33.293324,50.06835,6.1448364,45.792007,49.308815,-0.652355,46.58553,39.960636,5.819281,47.200356,50.233982,0.23244429,46.828747,41.16583
12,0.68548286,-57.481018,-45.0988,-3.3590548,-63.4826,-43.800873,-3.9887748,-62.952522,-43.768402,-2.23328,-64.42636,-46.182526,-6.758727,-58.90865,-41.728455,-8.25557,-61.52677,-42.650974,-8.087595,-61.621758,-43.39423,-0.540052,-63.230263,-35.482964,-7.3927255,-60.044464,-29.296871,-2.909685,-53.464397,-42.458588,-7.3480706,-53.705967,-38.580414,7.5209994,-39.56358,-24.674397,-9.597189,-40.097458,-22.84476,9.364943,-18.558287,-10.760956,-11.001241,-15.0401535,-15.057796,9.732049,-4.6709533,-12.482226,-10.296746,0.18039322,-19.554611,12.248184,2.840805,-14.619473,-10.415058,7.132117,-21.836905,10.261346,0.8492056,-15.064775,-10.790138,7.548631,-21.814476,8.658704,7.127179,-24.832018,-10.4116535,4.169845,-26.83155,4.9712977,3.3041131,-4.612153,-5.0828795,3.4359784,5.01681,6.429718,36.80838,51.288876,-1.8648783,36.696674,45.390495,4.324887,30.083616,57.972603,-1.3608327,37.715343,51.706654,5.95246,48.55747,51.00743,0.19842924,46.890846,40.536793,6.0717754,45.043137,51.29747,0.15918384,46.463795,41.49025
13,-0.8183159,-56.57895,-45.828312,-3.9537566,-63.52102,-44.29526,-2.7681231,-64.1094,-43.57725,-1.1522667,-64.62151,-43.453957,-6.230876,-60.72791,-43.38604,-6.88015,-61.740543,-43.52568,-9.370469,-59.98372,-43.185272,1.0676044,-64.26362,-35.215996,-8.917007,-59.036694,-29.720358,-3.0361452,-51.926155,-40.593884,-6.819784,-53.861988,-39.5217,8.934027,-43.186184,-24.771414,-8.898324,-38.95811,-23.33368,11.154111,-19.136108,-11.807519,-12.595949,-16.841919,-14.34455,9.471576,-6.186406,-12.045151,-9.129246,1.9413372,-19.171381,11.217655,3.1468716,-14.969354,-12.316547,7.2256646,-21.780382,11.981618,1.2680466,-13.841126,-10.059408,8.35766,-22.544334,9.9327,7.516894,-25.52732,-10.006436,4.531972,-27.608553,6.1374865,-0.082590744,-4.147243,-4.607165,-1.2469063,5.363797,4.626916,34.719242,51.85598,-0.8282169,33.87605,46.326103,2.9328141,29.028963,57.05569,0.16213429,34.287125,51.297237,6.3644323,45.71786,49.86477,0.27077287,45.335842,39.96608,6.729483,45.209106,50.59906,1.2285544,46.481403,42.152515
14,-0.18248111,-57.568993,-45.094368,-4.519279,-62.13922,-44.00028,-2.0231898,-61.81709,-44.31648,-4.23989,-62.93571,-45.501556,-6.8490725,-60.784405,-44.598743,-7.0114822,-61.697083,-44.198406,-7.547971,-59.993053,-44.160004,-0.46250305,-62.125557,-35.401104,-8.544285,-59.95499,-28.848616,-2.6119826,-52.75306,-40.538292,-7.4544215,-53.459373,-37.51164,8.581621,-41.118862,-23.75351,-12.323986,-39.489162,-22.644869,9.572141,-19.29997,-11.059203,-11.088453,-15.643449,-14.136453,9.61582,-4.8583055,-13.306786,-11.31217,1.6818001,-19.527714,11.01193,3.9984028,-15.141719,-11.295718,7.291208,-20.164785,9.849296,0.9466988,-14.99916,-10.667253,7.1300335,-23.091663,9.864083,5.304345,-25.799498,-10.8702,3.1416726,-25.347422,4.4241347,-0.60377425,-5.3068633,-4.790784,1.2192664,4.5346966,4.333478,34.96081,52.05717,-2.61445,35.64268,47.114704,4.2307367,28.320532,58.257233,-1.0283731,36.81701,51.616295,4.3932705,47.41721,51.00284,-0.05228846,45.07715,42.351933,7.1054525,45.93206,51.044365,-0.1413137,46.63554,43.14591
15,0.98122543,-59.077,-45.205498,-4.0500445,-62.77338,-45.017117,-2.6438901,-62.636826,-43.88005,-1.8255808,-64.190636,-44.264923,-6.7746925,-60.040783,-44.72356,-8.122799,-60.33656,-43.107018,-8.719383,-62.408173,-42.63864,0.009487138,-63.604954,-36.405483,-8.7042465,-59.90781,-28.850597,-3.5602276,-52.378056,-41.609314,-7.5400066,-51.34768,-38.12177,9.011955,-41.9956,-22.942972,-10.12962,-38.809116,-22.484257,10.529523,-18.72834,-10.643786,-10.995572,-15.6133995,-14.994592,9.554244,-4.2309337,-12.951945,-11.599077,-0.42936885,-20.336977,9.4105835,2.5995927,-15.428835,-11.362311,7.087593,-22.645844,9.608023,2.015403,-14.485949,-11.451203,6.8698363,-22.504139,9.275443,4.983621,-25.655317,-9.544783,7.1983705,-26.472733,5.441112,2.8772569,-2.1146512,-4.6211925,3.3855612,4.9715366,3.5062304,39.41104,50.59468,-1.0284963,36.376423,48.755836,4.3053966,31.32149,56.526657,0.23388994,38.97148,50.413048,6.192098,46.115276,50.149605,0.5469669,45.916008,41.842266,6.4729753,47.52354,49.25427,0.17960471,46.111355,40.90427
16,0.14479448,-57.963226,-45.717545,-3.830782,-63.073643,-43.66293,-2.890864,-62.877403,-45.00108,-1.4869349,-63.506336,-44.1892,-6.931887,-60.269226,-43.274464,-7.3304024,-60.59397,-43.823288,-8.892345,-61.20471,-42.51316,0.36718628,-65.246185,-37.22531,-9.341707,-59.234795,-29.484108,-0.73142743,-54.268528,-42.051598,-5.862832,-53.96976,-39.43619,7.6795807,-41.791985,-22.755426,-8.18329,-40.1566,-22.519402,8.836634,-18.749287,-10.317771,-11.635798,-14.835465,-13.382181,9.7339525,-6.1430287,-13.727834,-10.582989,0.24749494,-20.624723,8.842258,2.9318018,-15.6256275,-10.6354265,6.980693,-21.027811,10.777707,1.314282,-14.529001,-10.947634,5.6019187,-22.861889,8.814237,6.8176866,-24.254044,-9.496847,4.9943047,-25.792313,4.8895307,-0.5615883,-2.47757,-3.9370866,0.72518855,5.718156,4.205064,33.504517,52.52873,-0.55483645,34.31758,48.831657,3.1439712,28.846054,56.80793,-0.27958018,35.390038,51.346542,6.099897,45.348557,51.26429,1.020482,45.424427,41.734867,6.0357323,46.137226,50.06099,0.33006945,45.880173,43.344666
17,-0.5321825,-57.93438,-45.152065,-4.528024,-63.626415,-41.9505,-3.6960366,-63.560913,-43.91752,-1.7905506,-63.203266,-43.66432,-5.3796587,-62.244995,-43.611813,-6.8090677,-61.990955,-43.271645,-9.038041,-61.879665,-42.701134,-1.0388292,-62.660305,-36.037403,-9.504994,-59.18642,-29.021954,-2.6884682,-55.75397,-42.321804,-6.9205008,-53.9327,-38.734756,8.120938,-40.865177,-23.53071,-9.597644,-38.976006,-22.321161,9.748179,-19.153793,-10.094861,-12.254584,-14.19203,-12.410225,9.33758,-3.6826944,-11.856127,-12.726994,2.517107,-20.34837,11.02317,3.3354092,-14.785633,-13.1469755,6.446698,-21.634235,10.605502,2.4620173,-13.683793,-11.913252,5.9389734,-22.792555,8.080904,5.8456616,-25.024078,-8.571277,5.74697,-25.262733,4.6276836,1.6281221,-3.312292,-5.156569,0.9145863,4.1945367,5.402862,34.203686,51.409317,-1.6031291,34.29269,47.218945,4.3213735,27.770294,56.065273,-1.4753113,36.026634,49.472088,6.704032,45.897907,50.438805,1.0700942,45.23061,41.42961,5.767893,45.515858,49.00053,0.22522822,46.04358,42.287724
18,-1.003185,-58.372513,-45.570957,-3.7464397,-61.689056,-44.30924,-2.1924326,-62.647472,-44.643177,-1.2897317,-63.898895,-42.839752,-7.0983553,-60.276608,-41.862022,-7.369335,-62.56484,-43.5716,-8.719776,-59.29416,-42.173756,-0.85103655,-62.516945,-35.963593,-8.941023,-60.544205,-28.515312,-2.7897635,-52.72184,-40.266556,-7.5535955,-52.28625,-40.045,9.366713,-40.129124,-23.817945,-9.088345,-39.171867,-24.103426,10.461105,-18.161448,-11.958698,-10.952456,-15.47138,-13.126284,10.14809,-5.1542616,-12.982743,-12.43333,2.7153296,-20.05508,10.663823,2.5616117,-16.141447,-12.182432,6.3448753,-20.725565,9.620926,1.1066449,-15.463572,-10.988284,6.855292,-23.022945,8.684414,5.6695266,-25.575098,-10.282095,5.1980853,-26.379713,6.0660753,2.6656601,-2.6010466,-4.4699783,3.6882613,5.3208513,5.0868077,36.699955,51.358578,-2.41729,37.84573,47.021324,4.567077,30.011047,56.19919,-1.0982993,38.1287,50.76047,4.683526,46.50913,49.73106,0.81750935,46.94054,40.076756,5.109719,45.891582,49.509678,-0.6504757,45.477627,41.840023
19,-0.72903055,-57.007866,-44.27387,-4.303063,-62.672832,-44.525066,-3.1107059,-64.49903,-43.370903,-2.3674552,-64.566246,-44.62587,-7.0994496,-61.982292,-42.828407,-7.7909355,-60.7088,-41.687202,-9.449875,-60.25689,-42.19932,1.3611158,-62.638454,-35.62954,-10.303368,-58.32791,-28.691393,-3.2892852,-52.515594,-40.1135,-5.5800786,-53.485023,-40.10689,7.1280203,-41.21197,-22.690754,-10.298744,-39.19489,-23.584476,10.724412,-20.04348,-11.427006,-12.878036,-15.852975,-13.407015,9.760782,-4.4179106,-11.834691,-10.4791,2.684906,-19.020483,10.705454,3.2478921,-16.449902,-10.838609,7.595911,-22.628279,9.748549,2.1076117,-14.607918,-11.931705,7.4119887,-23.204361,9.734232,6.1705923,-26.357616,-10.656253,6.107016,-25.40889,4.5253024,-0.4316965,-2.1631393,-5.344983,-0.44449493,5.0600543,5.030124,34.52313,50.431156,-0.6498494,33.48596,46.63384,3.773767,28.41681,56.53441,-1.3319092,34.72516,51.18934,6.6132526,45.646225,51.214973,0.045654457,44.61777,42.342266,4.4433217,46.017113,49.96365,-0.8283949,47.530144,42.35083
20,-0.49093005,-58.460964,-45.86629,-3.6935098,-62.35035,-44.870556,-3.174279,-62.12724,-44.940132,-2.395176,-64.19191,-45.224266,-6.710529,-61.218372,-42.40743,-7.5921273,-61.714745,-41.474037,-8.41181,-60.61074,-43.238087,-1.0012408,-63.063755,-35.484325,-10.46092,-59.329613,-27.92928,-2.0375435,-53.0301,-40.33633,-7.6110086,-54.14779,-39.1834,7.576843,-40.637615,-24.330622,-8.655144,-38.69443,-24.020214,11.372652,-19.439945,-10.8200245,-12.941858,-15.805399,-13.605744,9.956209,-5.6032114,-14.186283,-10.322966,1.2600524,-18.94144,9.498882,2.2814498,-14.635173,-13.017421,6.6348634,-21.796574,10.82796,2.2506754,-12.598441,-11.674229,7.70517,-21.46046,9.585998,6.045789,-24.913818,-10.749072,5.622474,-26.419498,4.1292057,0.8567085,-3.091606,-4.3134274,0.14344634,4.8520594,3.6440868,34.545296,52.00016,-1.6167048,33.148228,47.169376,4.614857,27.590466,55.824482,-2.0692053,36.51558,51.12415,6.512274,46.30772,49.189835,0.6818863,45.84937,41.858208,5.7035117,46.261894,51.48222,-0.15812157,45.08203,41.832687
